Richard Brooks,4,"(written for the screen by), (written by), NULL, producer (uncredited), producer","In Cold Blood, Bite the Bullet, $, Wrong Is Right"
Richard Tyler,11,"sound, sound re-recording, re-recording mixer (as Dick Tyler), sound re-recordist","The Drowning Pool, Bite the Bullet, From Noon Till Three, $, Blazing Saddles, Stand Up and Be Counted, Hugo the Hippo, Flash and the Firecat, Lost Horizon, Report to the Commissioner, Butterflies Are Free"
Wayne Fitzgerald,10,"editor: montage (uncredited), titles, title designer (uncredited), title designer","Lost Horizon, The Comic, Tootsie, Fat City, Funny Girl, Thank God It's Friday, The Electric Horseman, The Owl and the Pussycat, Mame, The Wrecking Crew"
Maury Winetrobe,10,NULL,"Lost Horizon, Summertree, Funny Girl, Getting Straight, The Gumball Rally, The Frisco Kid, The Wrecking Crew, From Noon Till Three, Mame, Cactus Flower"
Anthony Ray,7,"associate producer (as Tony Ray), producer (as Tony Ray), assistant director, unit production manager (as Tony Ray), production manager (as Tony Ray)","Bob & Carol & Ted & Alice, Freebie and the Bean, An Unmarried Woman, Willie & Phil, Next Stop, Greenwich Village, Cactus Flower, Blume in Love"
Moss Mabry,10,"costumes: Miss Bacall, NULL","Bob & Carol & Ted & Alice, The Love Machine, The Shootist, Stand Up and Be Counted, The Mad Room, Doctors' Wives, The Wrecking Crew, Butterflies Are Free, From Noon Till Three, Cactus Flower"
Russell Saunders,7,"second unit director (as Russ Saunders), unit production manager (as Russ Saunders), assistant director, assistant director (as Russ Saunders), unit production manager, executive production manager","From Noon Till Three, The Comic, The Shootist, Fat City, The New Centurions, Fools' Parade, Lost Horizon"
Guy C. Verhille,8,"(as Guy Verhille), costumer (as Guy Verhille), wardrobe: men (as Guy Verhille), NULL, costume supervisor (as Guy Verhille)","Hook, Line and Sinker, The Comic, 40 Carats, The New Centurions, Fools' Parade, Lost Horizon, Brother John, Cactus Flower"
Charles J. Rice,9,"sound supervisor, sound effects (uncredited)","In Cold Blood, Hook, Line and Sinker, Funny Girl, Pendulum, The Comic, Bob & Carol & Ted & Alice, The Mad Room, Model Shop, The Wrecking Crew"
William O'Sullivan,9,"executive production manager, executive production manager (as William J. O'Sullivan)","Bob & Carol & Ted & Alice, The Love Machine, 40 Carats, Stand Up and Be Counted, Doctors' Wives, Butterflies Are Free, Marooned, Report to the Commissioner, Cactus Flower"
Dave Grusin,8,"conductor (uncredited) / orchestrator (uncredited), NULL","The Pursuit of Happiness, Bobby Deerfield, Absence of Malice, Tootsie, The Mad Room, The Yakuza, The Electric Horseman, Three Days of the Condor"
Abe Lincoln Jr.,8,"assistant film editor (uncredited), assistant film editor, assistant editor (uncredited)","40 Carats, Fat City, The Mad Room, Getting Straight, Fools' Parade, Lost Horizon, Report to the Commissioner, Cactus Flower"
Jack Hayes,8,"orchestrator, orchestrator (uncredited), orchestrations, orchestral arrangements","In Cold Blood, Bob & Carol & Ted & Alice, A Walk in the Spring Rain, Funny Girl, The Thief Who Came to Dinner, Lost Horizon, History of the World: Part I, Cactus Flower"
Max Frankel,8,"prop master, property master, props (uncredited)","Bob & Carol & Ted & Alice, Happy Birthday, Wanda June, The Love Machine, Stand Up and Be Counted, Doctors' Wives, The Wrecking Crew, Lost Horizon, Cactus Flower"
Mike Frankovich Jr.,7,"second assistant director (uncredited), unit production manager, unit manager, second assistant director, assistant director (uncredited)","From Noon Till Three, A Reflection of Fear, 40 Carats, Doctors' Wives, Lost Horizon, Report to the Commissioner, Butterflies Are Free"
Terence A. Donnelly,4,"unit production manager (as Terry Donnelly), assistant director (as Terry Donnelly), associate producer (as Terry Donnelly), first assistant director (as Terry Donnelly), unit production manager (as Terence Donnelly)","An Unmarried Woman, The Pursuit of Happiness, Willie & Phil, Next Stop, Greenwich Village"
Morris Hoffman,7,"(as Maury Hoffman), NULL, (as Morey Hoffman), (as Morrie Hoffman)","A Walk in the Spring Rain, Blazing Saddles, The Comic, Pendulum, Fat City, The Gumball Rally, Stand Up and Be Counted"
Hawk Koch,6,"second assistant director (uncredited), assistant director (as Howard W. Koch Jr.), executive producer (as Howard W. Koch Jr.), associate producer (as Howard W. Koch Jr.)","The Drowning Pool, Bob & Carol & Ted & Alice, Pendulum, Getting Straight, The Frisco Kid, Fools' Parade"
Edna Taylor,7,"wardrobe woman (uncredited), costumes: ladies, wardrobe: women, costumer: women, costume supervisor: women, costume supervisor: ladies","The Shootist, Happy Birthday, Wanda June, The Love Machine, 40 Carats, Stand Up and Be Counted, Doctors' Wives, Butterflies Are Free"
Donald Harris,7,"music editor, music editor (as Don Harris)","The Drowning Pool, Altered States, Firefox, Tilt, Time After Time, The Swarm, Mame"
Marvin March,7,NULL,"I Walk the Line, The Frisco Kid, Sgt. Pepper's Lonely Hearts Club Band, Doctors' Wives, Fools' Parade, Mame, Butterflies Are Free"
Rick Alexander,7,"sound re-recording mixer (as Richard Alexander), re-recording mixer (as Dick Alexander), sound re-recording mixer (as Dick Alexander)","Firefox, Mortuary, Tilt, Tootsie, All the President's Men, Wrong Is Right, Spacehunter: Adventures in the Forbidden Zone"
Richard Rush,3,"(adaptation), NULL, producer","Freebie and the Bean, The Stunt Man, Getting Straight"
Charles Lang,7,"NULL, (as Charles B. Lang), director of photography (as Charles E. Lang), director of photography (as Charles B. Lang)","Bob & Carol & Ted & Alice, A Walk in the Spring Rain, The Love Machine, 40 Carats, Doctors' Wives, Butterflies Are Free, Cactus Flower"
Ralph James Hall,6,"assistant editor (uncredited), music editor (as Ralph Hall)","$, Cisco Pike, 40 Carats, Funny Girl, Model Shop, Butterflies Are Free"
Al Overton Jr.,7,"sound, production mixer, sound mixer","Bite the Bullet, 1776, Thank God It's Friday, Fools' Parade, The Electric Horseman, Mame, Blume in Love"
Leo Shuken,7,"orchestrator, orchestrator (uncredited), orchestrations, orchestral arrangements","In Cold Blood, Bob & Carol & Ted & Alice, A Walk in the Spring Rain, Funny Girl, The Thief Who Came to Dinner, Lost Horizon, Cactus Flower"
Quincy Jones,6,NULL,"In Cold Blood, Bob & Carol & Ted & Alice, $, The New Centurions, Brother John, Cactus Flower"
Eugene Marks,6,"music editor, music editor (as Gene Marks)","Blazing Saddles, St. Ives, Exorcist II: The Heretic, The Gumball Rally, The Frisco Kid, Viva Knievel!"
Charles Bail,4,"stunt coordinator, producer (as Chuck Bail), stunts (uncredited), (as Chuck Bail), (story) (as Chuck Bail) and, stunt coordinator (as Chuck Bail)","Getting Straight, The Gumball Rally, The Stunt Man, Freebie and the Bean"
Augie Lohman,6,"special effects, special effects (uncredited)","Bobby Deerfield, The Shootist, The New Centurions, The Electric Horseman, From Noon Till Three, Three Days of the Condor"
Marshall Schlom,6,script supervisor,"1776, $, Fat City, Funny Girl, The China Syndrome, Lost Horizon"
Ronald L. Schwary,4,"assistant director, associate producer, production manager, executive producer, producer (uncredited)","The Electric Horseman, Tootsie, Absence of Malice, St. Ives"
Fredric Steinkamp,6,"NULL, supervising editor, supervising film editor","Bobby Deerfield, Freebie and the Bean, Tootsie, The Yakuza, Harry and Walter Go to New York, Three Days of the Condor"
Rudy Durand,1,"(screenplay), producer, pinball machine musical sounds, (story), NULL, musical director",Tilt
Mickey Gilbert,5,"stuntman, stunt people, stunts (uncredited), stunt coordinator","The Electric Horseman, The Frisco Kid, Mame, The Gumball Rally, Blazing Saddles"
Bernie Pollack,6,"wardrobe / costume supervisor (uncredited), wardrobe: men, NULL, costume supervisor","Bobby Deerfield, Absence of Malice, Tootsie, All the President's Men, The Electric Horseman, Three Days of the Condor"
John C. Howard,5,"NULL, supervising editor, associate editor","The Drowning Pool, Americathon, Sgt. Pepper's Lonely Hearts Club Band, Blazing Saddles, History of the World: Part I"
Seth Banks,6,"wardrobe: men, costumer, costume supervisor: men, wardrobe man (uncredited)","Happy Birthday, Wanda June, The Love Machine, Stand Up and Be Counted, Doctors' Wives, Marooned, Butterflies Are Free"
Vern Jacobs,6,"transportation manager (uncredited), driver: van and tow (uncredited), transportation captain (uncredited), driver captain (uncredited), driver (uncredited), driver: generator (uncredited) / driver: trailer (uncredited) / transportation gaffer (uncredited)","Altered States, Summertree, Fat City, Doctors' Wives, The New Centurions, The Thief Who Came to Dinner"
Elmer Bernstein,6,NULL,"From Noon Till Three, A Walk in the Spring Rain, The Shootist, Doctors' Wives, Spacehunter: Adventures in the Forbidden Zone, Report to the Commissioner"
Dennis Maitland,6,"sound, production sound, sound mixer, recording mixer, production sound mixer","An Unmarried Woman, The Pursuit of Happiness, Willie & Phil, Next Stop, Greenwich Village, The Owl and the Pussycat, Three Days of the Condor"
John Alvin,6,"poster artist (uncredited), poster artist","Bite the Bullet, Blazing Saddles, Bobby Deerfield, The Frisco Kid, From Noon Till Three, History of the World: Part I"
Bob Rose,6,"key grip (as Bobby Rose), key grip (as R. Reinholt Rose), key grip","Altered States, Sgt. Pepper's Lonely Hearts Club Band, Tootsie, All the President's Men, The Electric Horseman, Absence of Malice"
Carey Loftin,5,"stunt double (uncredited), stunts (uncredited), stunt coordinator (uncredited), second unit director, stunt coordinator","The China Syndrome, The New Centurions, The Wrecking Crew, Viva Knievel!, The Comic"
Stephen B. Grimes,4,"(as Stephen Grimes), second unit director (as Stephen Grimes)","Three Days of the Condor, The Electric Horseman, The Yakuza, Bobby Deerfield"
Don Guidice,6,"NULL, assistant editor","Bobby Deerfield, Freebie and the Bean, The Yakuza, Harry and Walter Go to New York, Tilt, Three Days of the Condor"
Paul Caven,5,"gaffer: additional photography (uncredited) / lighting technician (uncredited), electrician (uncredited) / lighting technician (uncredited), best boy, best boy (uncredited)","Nickelodeon, The Electric Horseman, Freebie and the Bean, Harry and Walter Go to New York, Wrong Is Right"
Dan Perri,5,"title designer: main titles, title designer (uncredited), title designer","Capricorn One, Freebie and the Bean, The Stunt Man, All the President's Men, Exorcist II: The Heretic"
Melvin Van Peebles,1,"(written by), NULL, producer",Sweet Sweetback's Baadasssss Song
Eddy Donno,5,"stunts, stunts (uncredited), stunt coordinator","Freebie and the Bean, Flash and the Firecat, The Gumball Rally, Harry and Walter Go to New York, Getting Straight"
Philip L. Parslow,5,assistant director,"I Walk the Line, Doctors' Wives, The Love Machine, Stand Up and Be Counted, A Walk in the Spring Rain"
Ralph E. Black,5,"unit manager (as Ralph Black), second unit director (as Ralph Black), unit production manager (as Ralph Black)","Doctors' Wives, Marooned, The Love Machine, The Wrecking Crew, Stand Up and Be Counted"
Richard M. Rubin,5,"property master, properties","Funny Girl, Hook, Line and Sinker, Fat City, Harry and Walter Go to New York, Exorcist II: The Heretic"
Sheldon Schrager,5,"unit production manager, assistant director, associate producer","Cisco Pike, Lost Horizon, Getting Straight, 1776, Harry and Walter Go to New York"
Owen Roizman,5,"director of photography, NULL","Sgt. Pepper's Lonely Hearts Club Band, Three Days of the Condor, The Electric Horseman, Tootsie, Absence of Malice"
John Monte,5,"still photographer, still photographer (uncredited)","The Swarm, Happy Birthday, Wanda June, Doctors' Wives, 40 Carats, The New Centurions"
Maury Nemoy,5,"title design, title designer: main titles, title designer","Shamus, The Love Machine, 40 Carats, Stand Up and Be Counted, Butterflies Are Free"
Kenny Endoso,5,"stuntman, stunts: chase sequence (as Ken Endoso), stunts (uncredited), stunts","Freebie and the Bean, The Electric Horseman, The Stunt Man, The Gumball Rally, Blazing Saddles"
Phill Norman,5,"titles designer, titles, title designer","Three Days of the Condor, The Gumball Rally, The Yakuza, Harry and Walter Go to New York, Bobby Deerfield"
John M. Poer,5,"second assistant director (uncredited), dga trainee (uncredited), dga trainee, second assistant director","Cisco Pike, Doctors' Wives, Model Shop, The Wrecking Crew, The Comic"
Lynn Stalmaster,5,NULL,"Nickelodeon, The New Centurions, Tootsie, Harry and Walter Go to New York, The Best of Times"
Jack Solomon,5,"sound, sound mixer","Cisco Pike, Lost Horizon, Funny Girl, The Frisco Kid, Summertree"
Jesse Wayne,5,"stunts (uncredited), stunts, stunt double: Mickey Rooney (uncredited) / stunts (uncredited), stunt double (uncredited) / stunt double: Harry Gold (uncredited), stunt driver (uncredited)","Hook, Line and Sinker, The In-Laws, Thank God It's Friday, Viva Knievel!, The Comic"
Mel Brooks,2,"(written by), NULL, producer, (screenplay) &","Blazing Saddles, History of the World: Part I"
George Jenkins,4,NULL,"The Pursuit of Happiness, 1776, All the President's Men, The China Syndrome"
Pato Guzman,5,NULL,"An Unmarried Woman, The In-Laws, Bob & Carol & Ted & Alice, Willie & Phil, Blume in Love"
Al Overton,5,"sound (as Al Overton Sr.), sound mixer (as Alfred J. Overton)","Report to the Commissioner, Hook, Line and Sinker, From Noon Till Three, The Shootist, 40 Carats"
Dave Friedman,5,"still photographer, still photographer (uncredited)","The Thief Who Came to Dinner, The Gumball Rally, Sgt. Pepper's Lonely Hearts Club Band, Harry and Walter Go to New York, Butterflies Are Free"
Gray Johnson,5,"stuntman, stunts (as Gary Johnson), stunt coordinator / stunts, stunts (uncredited), stunt","Flash and the Firecat, The Gumball Rally, The In-Laws, The Stunt Man, Freebie and the Bean"
Frank Tallman,4,"aerial sequences, stunts: aerial (uncredited), stunt double (uncredited), aerial coordinator / pilot: Stearman, pilot: helicopter sequences","The Thief Who Came to Dinner, Lost Horizon, Capricorn One, The Wrecking Crew"
Ralph Burns,3,"orchestrator: ""The Spanish Inquisition"", NULL, orchestrator, musical director (uncredited), conductor / music arranger / music supervisor","Cabaret, Mame, History of the World: Part I"
Ken Ryan,5,"production auditor (as Kenneth Ryan), auditor: United States (as Kenneth Ryan), auditor","Bobby Deerfield, Absence of Malice, The China Syndrome, Tootsie, All the President's Men"
Jack Baur,5,"NULL, casting supervisor","The Swarm, The Gumball Rally, Lost Horizon, St. Ives, Viva Knievel!"
Bill Johnson,5,"camera operator, camera operator (uncredited)","Cisco Pike, The Thief Who Came to Dinner, From Noon Till Three, Mame, Brother John"
Robert Clatworthy,5,NULL,"From Noon Till Three, Report to the Commissioner, 40 Carats, Butterflies Are Free, Cactus Flower"
Lyle R. Wheeler,5,NULL,"Doctors' Wives, Bernardine, Marooned, The Love Machine, Stand Up and Be Counted"
John Livesley,5,"key grip (uncredited), best boy (uncredited), grip (uncredited), key grip","Cisco Pike, Happy Birthday, Wanda June, A Reflection of Fear, Brother John, Stand Up and Be Counted"
Laszlo Kovacs,5,"director of photography (as Laszlo Kovacs), NULL","Nickelodeon, Getting Straight, Freebie and the Bean, A Reflection of Fear, Harry and Walter Go to New York"
Michael D. Moore,4,"second unit director (as D. Michael Moore), assistant director (as M. Michael Moore), associate producer (as D. Michael Moore), assistant director (as Michael Moore), assistant director (as D. Michael Moore)","The Thief Who Came to Dinner, Mame, The Electric Horseman, The Yakuza"
Ken Dufva,5,"foley artist (uncredited), foley artist","Sgt. Pepper's Lonely Hearts Club Band, The In-Laws, Wrong Is Right, Willie & Phil, Time After Time"
Ruth Santarone,5,caterer (uncredited),"Fools' Parade, In Cold Blood, I Walk the Line, Funny Girl, Time After Time"
Richmond L. Aguilar,5,"gaffer (as Richmond Aguilar), gaffer, electric gaffer (as Rich Aguilar), gaffer (uncredited), gaffer (as Richard Aguilar)","Nickelodeon, Getting Straight, Freebie and the Bean, A Reflection of Fear, Harry and Walter Go to New York"
Albert Whitlock,4,"special photographic effects (uncredited), special visual effects (as Albert J. Whitlock), matte artist (uncredited), special photographic effects","Funny Girl, Mame, History of the World: Part I, Exorcist II: The Heretic"
Herb Wallerstein,4,"unit production manager, associate producer (as Herbert Wallerstein), unit production manager (as Herbert Wallerstein)","Cisco Pike, Hook, Line and Sinker, Brother John, A Walk in the Spring Rain"
Ferd Sebastian,1,"camera operator, NULL, (written by) &, producer",Flash and the Firecat
Harry Stradling Jr.,5,"director of photography, NULL","The Mad Room, Fools' Parade, Bite the Bullet, 1776, Up the Academy"
William Randall,5,"sound, production sound mixer (as Bill Randall), sound (as Wm. Randall Jr.), sound mixer","In Cold Blood, The Gumball Rally, Brother John, Pendulum, The New Centurions"
Jerry Summers,5,"stuntman, stunt (as Jerry Sommers), stunts (uncredited)","The Thief Who Came to Dinner, The Gumball Rally, The In-Laws, Report to the Commissioner, Blazing Saddles"
Joe LaBella,5,"props (as Joe La Bella), property master, property master (as Joe La Bella), property master (uncredited)","Cisco Pike, In Cold Blood, The New Centurions, $, 40 Carats"
George Grenville,3,"associate producer, NULL, montage designer / title designer","Bite the Bullet, $, Wrong Is Right"
Harold F. Kress,5,"associate producer, NULL, supervising editor, (as Harold Kress)","The Swarm, I Walk the Line, The Wrecking Crew, Viva Knievel!, Stand Up and Be Counted"
Dominic Santarone,5,caterer (uncredited),"Fools' Parade, In Cold Blood, I Walk the Line, Funny Girl, Time After Time"
Joseph Hurley,4,"production illustrator, illustrator (as Joe Hurley), production illustrator (uncredited), art department staff (as Joe Hurley)","Altered States, The China Syndrome, Harry and Walter Go to New York, 40 Carats"
Gene S. Cantamessa,4,"sound, production mixer (as Gene Cantamesa), boom operator, production sound mixer","Blazing Saddles, Brother John, History of the World: Part I, Wrong Is Right"
James M. Falkinburg,3,"associate producer (as James Nelson), supervising sound editor (uncredited), sound effects (as James Nelson), unit production manager (as James Nelson)","Freebie and the Bean, The China Syndrome, Cabaret"
Buddy Van Horn,4,"stunt double (uncredited), stunts (uncredited)","Fools' Parade, I Walk the Line, Marooned, Bite the Bullet"
Patricia Norris,4,"(as Patti Norris), NULL","A Reflection of Fear, Capricorn One, History of the World: Part I, The Best of Times"
John Morris,3,"conductor / orchestrator, NULL","The In-Laws, Blazing Saddles, History of the World: Part I"
Ralph Gerling,4,"camera operator, camera operator (as Ralph Girling)","The Drowning Pool, St. Ives, Up the Academy, All the President's Men"
Jack Haynes,4,"sound re-recordist, sound (uncredited)","In Cold Blood, $, Stand Up and Be Counted, Butterflies Are Free"
Bruce Surtees,4,"director of photography, NULL, cameraman: second unit","Firefox, Lost Horizon, The Shootist, Blume in Love"
David Salven,2,"unit production manager, assistant director, production manager (uncredited)","Summertree, Pendulum"
Gary Liddiard,4,"key makeup artist, makeup supervisor, makeup artist","The Electric Horseman, Three Days of the Condor, All the President's Men, Exorcist II: The Heretic"
David Bretherton,4,"NULL, (as Robert Simpson)","Fools' Parade, Bernardine, Cabaret, Harry and Walter Go to New York"
Dean Jeffries,3,"stunts, stunts (uncredited), mechanic (uncredited)","Flash and the Firecat, Freebie and the Bean, Report to the Commissioner"
John Franco,4,script supervisor,"In Cold Blood, Bite the Bullet, Marooned, Wrong Is Right"
Jerry Gatlin,4,"stunts, stunts (uncredited)","Bite the Bullet, Spacehunter: Adventures in the Forbidden Zone, Mame, Blazing Saddles"
Dominic Frontiere,3,"NULL, composer: theme / conductor","The Gumball Rally, The Stunt Man, Freebie and the Bean"
Vivienne Walker,4,hair stylist,"Funny Girl, From Noon Till Three, The Shootist, Hard Times"
Julie Pitkanen,4,script supervisor,"The Swarm, The Electric Horseman, 40 Carats, Blazing Saddles"
Robert F. Boyle,4,"NULL, (as Robert Boyle)","In Cold Blood, Mame, Bite the Bullet, The Shootist"
Ray De La Motte,3,"first assistant camera (uncredited), assistant camera (uncredited), first assistant camera, first assistant camera (as Ray de la Motte)","Freebie and the Bean, All the President's Men, Exorcist II: The Heretic"
Ray Stark,4,producer,"Funny Girl, The Electric Horseman, The Owl and the Pussycat, Fat City"
Fred J. Koenekamp,4,"director of photography, director of photography (as Fred Koenekamp), (as Fred Koenekamp)","The Swarm, Happy Birthday, Wanda June, Wrong Is Right, Stand Up and Be Counted"
Tommy Tedesco,4,"musician: guitar (uncredited), musician: guitar","Willie & Phil, Wrong Is Right, A Walk in the Spring Rain, Summertree"
Jerry Ziesmer,4,"assistant director, second assistant director, assistant director (uncredited)","Fools' Parade, Lost Horizon, Harry and Walter Go to New York, History of the World: Part I"
James Glennon,4,"camera operator, second assistant camera (uncredited)","Altered States, The Electric Horseman, Absence of Malice, The New Centurions"
Joe DiBella,4,"makeup artist (as Joe Di Bella), makeup artist (as Joseph Dibella), makeup artist (as Joseph DiBella)","From Noon Till Three, The Shootist, Wrong Is Right, Hard Times"
Steven Burnett,4,stunts (uncredited),"Mame, The Shootist, Capricorn One, Blazing Saddles"
Al Horwits,4,public relations,"In Cold Blood, Bite the Bullet, The Shootist, $"
Beverly Sebastian,1,"(written by), NULL, producer, still photographer",Flash and the Firecat
David Shire,3,"conductor (uncredited), NULL","Harry and Walter Go to New York, Summertree, All the President's Men"
Ken Runyon,4,"music editor, music editor (as Kenneth Runyon)","Lost Horizon, Americathon, A Reflection of Fear, Stand Up and Be Counted"
Stirling Silliphant,3,"(screenplay), NULL, producer","The Swarm, The New Centurions, A Walk in the Spring Rain"
Fred Williams,4,"makeup supervisor, makeup artist","The Thief Who Came to Dinner, Report to the Commissioner, Mame, Harry and Walter Go to New York"
Bob Lawless,4,"stand-by painter (uncredited), painter (uncredited), painter","Nickelodeon, Doctors' Wives, The Love Machine, Fat City"
Mike Fenton,4,NULL,"Capricorn One, Thank God It's Friday, History of the World: Part I, Hard Times"
Frank Tuttle,4,NULL,"Hook, Line and Sinker, Bob & Carol & Ted & Alice, Marooned, The Wrecking Crew"
Wally Rose,4,"stuntman, stunts (uncredited)","The Gumball Rally, Mame, The Wrecking Crew, Blazing Saddles"
Barry Thomas,4,"sound, production sound, production sound mixer, sound mixer","Nickelodeon, Freebie and the Bean, Scarecrow, Harry and Walter Go to New York"
Arthur Brooker,4,"key grip (uncredited), key grip (as Art Booker), key grip (as Art Brooker), key grip","The Drowning Pool, In Cold Blood, The Gumball Rally, Exorcist II: The Heretic"
David E. Blewitt,4,(as David Blewitt),"The Love Machine, Report to the Commissioner, 40 Carats, Butterflies Are Free"
Joseph E. Thibo,3,"assistant camera (uncredited), first assistant camera, assistant camera, assistant camera (as Joe Thibo)","Nickelodeon, Freebie and the Bean, Harry and Walter Go to New York"
Edward Stewart,4,"NULL, (as Ed Stewart)","Shamus, An Unmarried Woman, Willie & Phil, Next Stop, Greenwich Village"
Richard Craig Meinardus,4,"first camera assistant (uncredited), assistant camera: second unit, first assistant camera","1776, The Love Machine, Up the Academy, The Best of Times"
